Serum #1,Serum #2,Serum #3,Serum #4,External ID,Participant ID,data_type
222403,222403,222403,222403,HSM6ZK59,H4006,methylome
206501,206501,206501,206501,HSM5FZAB,H4007,methylome
206509,206509,206509,206509,HSM6ESRW,H4007,methylome
222402,222402,222402,222402,HSM6ZK5A,H4007,methylome
219207,219207,219207,219207,HSM6ZK52,H4008,methylome
222398,222398,222398,222398,HSM7H3VM,H4008,methylome
206503,206503,206503,206503,HSM6ESRI,H4009,methylome
222396,222396,222396,222396,HSM7H3Vo,H4009,methylome
206504,206504,206504,206504,HSM6ESS2,H4010,methylome
220941,220941,220941,220941,HSM6ZK5V,H4010,methylome
222386,222386,222386,222386,HSM7H3VV,H4010,methylome
222379,222379,222379,222379,HSM6ZK5N,H4013,methylome
224292,224292,224292,224292,HSM7H3W2,H4013,methylome
206508,206508,206508,20650834,HSM6ESRX,H4014,methylome
219219,219219,219219,219219,HSM6ESRM,H4014,methylome
220933,220933,220933,220933,HSM6ZK56,H4014,methylome
222376,222376,222376,222376,HSM9IE5B,H4014,methylome
206513,206513,206513,206513,HSM6ESRJ,H4015,methylome
219215,219215,219215,219215,HSM6ZK4P,H4015,methylome
220935,220935,220935,220935,HSM6ZK64,H4015,methylome
220942,220942,220942,220942,HSM6ZK5U,H4016,methylome
224285,224285,224285,224285,HSM9IE5G,H4016,methylome
220932,220932,220932,220932,HSM6ZK54,H4017,methylome
219213,219213,219213,219213,HSM6ZK4R,H4017,methylome
224283,224283,224283,224283,HSM9IE5I,H4017,methylome
220944,220944,220944,220944,HSM6Zk5S,H4018,methylome
224289,224289,224289,224289,HSM9IE5C,H4018,methylome
220949,220949,220949,220949,HSM6ZK55,H4019,methylome
220945,220945,220945,220945,HSM6ZK5R,H4019,methylome
222392,222392,222392,222392,HSM7H3VS,H4019,methylome
224286,224286,224286,224286,HSM9IE5F,H4019,methylome
219208,219208,219208,219208,HSM6ZK51,H4020,methylome
222377,222377,222377,222377,HSM6ZK5F,H4020,methylome
222395,222395,222395,222395,HSM7H3VQ,H4020,methylome
224278,224278,224278,224278,HSM9IE5N,H4020,methylome
222381,222381,222381,222381,HSM6ZK5L,H4022,methylome
224280,224280,224280,224280,HSM9IE5L,H4022,methylome
222399,222399,222399,222399,HSM7H3VL,H4023,methylome
224274,224274,224274,224274,HSM9IE5Q,H4023,methylome
219203,219203,219203,219203,HSM6ZK4W,H4024,methylome
220936,220936,220936,220936,HSM6ZK63,H4027,methylome
222397,222397,222397,222397,HSM7H3VN,H4027,methylome
224291,224291,224291,224291,HSM7H3W4,H4027,methylome
220946,220946,220946,220946,HSM6ZK5Q,H4030,methylome
224265,224265,224265,224265,HSM9IE6J,H4030,methylome
222385,222385,,,HSM7H3VW,H4031,methylome
224266,224266,224266,224266,HSM9IE6K,H4031,methylome
224293,224293,224293,224293,HSM7H3W1,H4032,methylome
224284,224284,224284,224284,HSM9IE5H,H4032,methylome
224262,224262,224262,224262,HSM9IE5U,H4032,methylome
222393,222393,222393,222393,HSM7H3VR,H4035,methylome
224277,224277,224277,224277,HSM9IE5O,H4035,methylome
224255,224255,224255,224225s4,HSM9IE6E,H4035,methylome
222390,222390,222390,222390,HSM6ZK5C,H4038,methylome
224281,224281,224281,,HSM9IE5K,H4038,methylome
224258,224258,224258,224258,HSM9IE6G,H4038,methylome
224275,224275,224275,224275,HSM9IE6P,H4039,methylome
224259,224259,224259,224259,HSM9IE5W,H4039,methylome
225343,225343,225343,225343,HSMA5PUJ,H4039,methylome
224294,224294,224294,224294,HSM7H3VZ,H4040,methylome
225340,225340,225340,225340,HSMA5PUL,H4040,methylome
224287,224287,224287,224287,HSM9IE5E,H4042,methylome
224282,224282,224282,224282,HSM9IE5J,H4043,methylome
224271,224271,224271,224271,HSM9IE5T,H4043,methylome
221781,221781,221781,221781,HSMA5PUG,H4043,methylome
225306,225306,225306,225306,HSMA5PUM,H4043,methylome
224260,224260,224260,224260,HSM9IE5V,H4044,methylome
206454,206454,206454,206454,MSM5CFAQ,M2008,methylome
206467,206467,206467,206467,MSM5CFB4,M2008,methylome
219188,219188,219188,219188,MSM6Q3SQ,M2008,methylome
219199,219199,219199,219199,MSM6Q3T3,M2008,methylome
206460,206460,206460,206460,MSM5CFAW,M2014,methylome
206461,206461,206461,206461,MSM5CFAX,M2025,methylome
206462,206462,206462,,MSM5CFAY,M2026,methylome
206465,206465,206465,,MSM5CFB2,M2027,methylome
219189,219189,219189,219189,MSM6Q3SR,M2027,methylome
220215,220215,220215,,MSM6Q3QO,M2027,methylome
206473,206473,206473,206473,MSM5CFB9,M2028,methylome
219195,219195,219195,219195,MSM6Q3SY,M2028,methylome
220206,220206,220206,220206,MSM6Q3QF,M2028,methylome
206469,206469,206469,206469,MSM5CFB6,M2034,methylome
219190,219190,219190,219190,MSM6Q3SS,M2034,methylome
219198,219198,219198,219198,MSM6Q3T2,M2034,methylome
223292,223292,223292,223292,MSM6Q3QX,M2034,methylome
223293,223293,223293,,MSM6Q3QZ,M2039,methylome
220212,220212,220212,220212,MSM6Q3QL,M2042,methylome
219202,219202,219202,,MSM6Q3T7,M2047,methylome
220201,220201,220201,220201,MSM6Q3QA,M2061,methylome
220208,220208,220208,220208,MSM6Q3QH,M2064,methylome
223298,223298,223298,223298,MSM6Q3R6,M2064,methylome
226382,226382,,,MSM6Q305,M2064,methylome
226398,226398,226398,226398,MSM6Q3OJ,M2064,methylome
220214,220214,220214,220214,MSM6Q3QN,M2068,methylome
220217,220217,220217,220217,MSM6Q3QQ,M2069,methylome
220216,220216,220216,,MSM6Q3QP,M2072,methylome
226397,226397,226397,,MSM6Q3OH,M2072,methylome
223294,223294,223294,223294,MSM6Q3R1,M2075,methylome
226409,226409,226409,226409,MSM6Q3OP,M2075,methylome
223302,223302,223302,223302,MSM6Q3RB,M2084,methylome
219716,219716,219716,219716,PSM6XC1M,P6005,methylome
224639,224639,224639,224639,PSMA263Y,P6005,methylome
224642,224642,224642,224642,PSM7J4EH,P6009,methylome
222206,222206,222206,222206,PSM7J4E6,P6010,methylome
224643,224643,224643,224643,PSM7J4EI,P6010,methylome
219712,219712,219712,219712,PSM6XC1L,P6013,methylome
219719,219719,219719,219719,PSM6XC1P,P6016,methylome
219721,219721,219721,219721,PSM6XC1R,P6018,methylome
222214,222214,222214,222214,PSM6XC1V,P6028,methylome
222220,222220,222220,222220,PSM6XC24,P6033,methylome
206527,206527,206527,206527,206527,E5004,serology
219972,219972,219972,219972,219972,E5004,serology
206528,206528,206528,206528,206528,E5013,serology
206494,206494,206494,206494,206494,H4001,serology
222401,222401,222401,222401,222401,H4017,serology
222384,222384,222384,222384,222384,H4028,serology
225345,225345,225345,225345,225345,H4042,serology
225341,225341,225341,225341,225341,H4042,serology
206466,206466,206466,206466,206466,M2014,serology
219185,219185,219185,219185,219185,M2014,serology
219200,219200,219200,219200,219200,M2014,serology
206468,206468,206468,,206468,M2021,serology
219194,219194,219194,219194,219194,M2025,serology
220203,220203,220203,220203,220203,M2025,serology
223289,223289,223289,223289,223289,M2025,serology
206472,206472,206472,206472,206472,M2026,serology
219192,219192,219192,219192,219192,M2026,serology
223287,223287,223287,223287,223287,M2026,serology
220218,220218,220218,220218,220218,M2028,serology
220205,220205,220205,220205,220205,M2039,serology
219184,219184,219184,219184,219184,M2042,serology
226385,226385,226385,226385,226385,M2060,serology
226408,226408,226408,226408,226408,M2084,serology
222223,222223,222223,222223,222223,P6025,serology
224648,224648,224648,224648,224648,P6025,serology
224654,224654,224654,,224654,P6033,serology
